Date,Active Energy (kcal),Apple Exercise Time (min),Apple Sleeping Wrist Temperature (ºF),Apple Stand Hour (hours),Apple Stand Time (min),Blood Oxygen Saturation (%),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (bpm),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Step Count (steps),Walking Double Support Percentage (%),Walking Heart Rate Average (bpm),Walking Speed (mi/hr) ,Total Sleep
2024-12-06 00:00:00,592.21,19,97.16,14,134,97.21,6,61,56,119,71.21,58.31,12.87,2077,64.5,3.816666666666670,1.3666666666666700,1.0750000000000000,0.8083333333333330,6892,28.41,103.5,2.71,7.116
2024-12-07 00:00:00,299.09,2,97,15,63,97.75,,51.75,52,99,65.46,58.63,12.29,1946,62,6.175000000000000,0.8583333333333330,2.3666666666666700,0.8,4450,27.07,,3.14,10.583
2024-12-08 00:00:00,617.98,37,96.98,12,173,97.17,14,45.53,52,111,70.92,65.09,13.52,1988,59,5.558333333333330,0.75,1.5,0.7083333333333330,11497,28.77,91,2.62,8.233
2024-12-09 00:00:00,517.06,20,97.17,15,123,96.95,9,45.6,49,118,65.34,67.93,12.55,2048,58,4.7250000000000000,1.2583333333333300,0.9250000000000000,0.3833333333333330,6274,29.21,,2.53,7.116
2024-12-10 00:00:00,989.94,64,,17,285,97.79,3,52.78,54,116,75.49,60.24,13.04,2132,62,4.866666666666670,1.1166666666666700,1.6916666666666700,0.5083333333333330,15338,28.39,95.5,2.69,7.9
2024-12-11 00:00:00,1358,198,,18,197,96.56,6,56.99,54,155,77.68,57.37,12.51,2112,64.5,4.283333333333330,0.8166666666666670,1.0833333333333300,1.8583333333333300,7981,28.78,84,2.66,6.38
2024-12-12 00:00:00,1136,110,,20,257,97.73,5,56.57,51,123,73.28,57.66,13.17,2125,60.5,2.7416666666666700,0.9000000000000000,1.55,0.5,14866,27.78,72.5,2.88,5.916
2024-12-13 00:00:00,441.36,11,97.05,13,110,96.96,1,58.18,52,118,65.07,51.93,12.44,2021,60,4.533333333333330,0.8083333333333330,1.2083333333333300,0.5833333333333340,6191,28.38,,2.66,6.68
2024-12-14 00:00:00,567.46,5,,14,197,97.12,4,53.79,47,110,65.39,47.86,12.54,2037,56.5,6.0,1.0583333333333300,2.091666666666670,1.4333333333333300,10365,29.16,102,2.51,12.36
2024-12-15 00:00:00,627.37,33,,13,152,96.7,5,52.33,50,122,65.39,70.01,12.75,2039,56.5,4.658333333333330,0.4916666666666670,2.3333333333333300,0.6916666666666670,6664,28.04,96,2.84,7.683
2024-12-16 00:00:00,773.73,32,97.1,19,193,97.58,2,57.94,49,115,69.4,51.94,12.4,2126,60,3.6166666666666700,1.1,1.0833333333333300,0.18333333333333300,9445,29.62,103.5,2.36,6.566
2024-12-17 00:00:00,492.06,8,96.34,14,129,97.16,5,53.59,52,122,69.47,58.13,12.47,2016,56,2.975,1.1000000000000000,1.1083333333333300,0.5083333333333330,7152,28.79,111.5,2.7,7.067
